9AC	100 NEW GOWER ST.		SAINT JOHN'S	NL	A1C 6K3
E49	6500 N US Highway 231	Maintenance Building	Rockport	IN	47635-9061
E48	622 Emerson Rd	Suite 400	Saint Louis	MO	63141-6727
E47	233 Mount Airy Rd	c/o Avaya	Basking Ridge	NJ	07920-2311
DS7	Byggnad 16, Bergfotsgatan 2		Mölndal		43184
DS6	Källviksvägen	Box 731	Falun		79129
E45	404 5th Ave	5th Floor	New York	NY	10018-2797
DS5	Ericsson, Rombvägen 7		Lyckeby		37123
XL9	2910 Waterview Dr		Rochester Hills	MI	48309-3484
E44	5900 Mercury Dr		Dearborn	MI	48126-2758
DS4	Industrivägen 2-4		Nynäshamn		14980
XL8	8000 Yankee Rd		Ottawa Lake	MI	49267-9505
E43	3 Sybase Dr		Dublin	CA	94568-7976
DS3	Montörsgatan 2, Box 901		Kumla		69225
XL7	2001 Sanford St		Muskegon	MI	49444-1025
DS2	Akademigatan 3, Box 3093		Östersund		83103
XL6	1883 E Laketon Ave		Muskegon	MI	49442-6123
DS1	Skolgången 17, Box 6206		Gävle		80006
XL5	6938 Elm Valley Dr		Kalamazoo	MI	49009-7447
E40	1701 North St, Bldg 14	1st and 2nd Floors	Endicott	NY	13760-5598
DS0	Kabelvägen 1		Hudiksvall		82482
XL4	4440 N Atlantic Blvd		Auburn Hills	MI	48326-1580
XL3	1350 Eisenhower Pl		Ann Arbor	MI	48108-3388
DRM	4407 SILICON DR		DURHAM	NC	27703-8014
XL2	4010 Airpark Dr		Owensboro	KY	42301-7704
XKP	2200 Larkspur Landing Cir		LARKSPUR	CA	94939-1815
XL1	12720 Westport Rd		Louisville	KY	40245-2115
XL0	301 Bill Bryan Blvd		Hopkinsville	KY	42240-6811
XKJ	58 Discovery		Irvine	CA	92618-3105
DRC	FREIBERGER STR.35		DRESDEN		1067
DRB	15555 & 15575 Lundy Parkway		Dearborn	MI	48126
XKC	22301 Foothill Blvd		HAYWARD	CA	94541-2771
19Z	1452 Edinger Ave		TUSTIN	CA	92780-6296
19Y	2600 N Central Expy		RICHARDSON	TX	75080-2007
19X	220 SE 6th St		TOPEKA	KS	66603-3596
19W	1575 N Resler Dr		EL PASO	TX	79912-8008
19V	350 N Orleans St		CHICAGO	IL	60654-1502
19U	225 W Randolph St		CHICAGO	IL	60606-1838
0XU	960 Franklin Pkwy W	2nd Floor, c/o Franklin Templeton	San Mateo	CA	94403
19T	1010 Pine St		SAINT LOUIS	MO	63101-2070
0XT	637 Flinders St	Level 5, Flinders Towers	Melbourne	VIC	3000
DR9	Göteborgsvägen 11	Box 401	Mariestad		54224
19S	6555 Monarch Rd		LONGMONT	CO	80503-8701
0XS	Anketel St	Centrepoint Bldg	Tuggeranong	ACT	2901
E38	2670 QUEENSVIEW DRIVE		OTTAWA	ON	K2B 8K1
DR8	St Göransgatan 143		Stockholm		10545
19R	1 Technology Park		HARRISBURG	PA	17110-2913
0XR	Newlands St		Parkes	ACT	2600
DR7	Spisvägen 6, Jönköping, Box 502		Norrahammar		56228
19Q	177 E Colorado Blvd		PASADENA	CA	91105-1978
E36	501 Island Pkwy		Belmont	CA	94002-4153
19P	1830 California Ave		CORONA	CA	92881-3378
0XP	Police College, Porirua		Wellington		6001
E35	3712 Jackson Ave	Bldg 6	Austin	TX	78731-6004
XK9	1491 Dana Dr		Henderson	KY	42420-9667
XJW	900 METRO CENTER BLVD		FOSTER CITY	CA	94404-2775
19O	Allee de la Recherche 63		Brussels		1070
E34	55 Corporate Dr		Bridgewater	NJ	08807-1206
DR4	Östra Ringvägen 2		Västerås		72173
XK8	1320 W Main St		Glasgow	KY	42141-1126
19N	Assesteenweg 35	L'Oreal Verzendingscentrale	Mollem		1730
0XN	Mobil On The Park	Lvl 14	Wellington		6001
E33	307 Middletown Lincroft Rd		Lincroft	NJ	07738-1526
DR3	Smedjegatan 1, Box 943		Kalmar		39129
XK7	902 Kentucky Ave		Fulton	KY	42041-8902
19M	Europort, Suite 731-4	PO Box 100	Gibraltar		
0XM	Furzer St	Lvl 1, Albermarle Building	Woden	ACT	2606
E32	13350 US Highway 19 N		Clearwater	FL	33764-7290
DR2	M-real, Kyrö		Kyröskoski		39200
XK6	721 Blackjack Rd		Franklin	KY	42134-1061
19L	ABN Amro House, 7 Castle St		Saint Helier		JE4 8TB
0XL	39-49 Martin Place	Level 4	Sydney	NSW	2000
E31	524 W 57th St	c/o CBS	New York	NY	10019-2902
DR1	M-real, Vapaaherrantie 13		Jyväskylä		40300
XK5	750 Dana Dr		Elizabethtown	KY	42701-4502
XJS	701 S Aviation Blvd		EL SEGUNDO	CA	90245-4898
19K	Via Del Vecchio Politenico	14th Floor	Milan		20121
0XK	264 George St	Australia Square Tower	Sydney	NSW	2000
E30	5780 Powers Ferry Rd NW		Atlanta	GA	30327-4347
DR0	251 Salmon St	Fisherman's Bend	Port Melbourne	VIC	3207
XK4	10000 Business Blvd		Dry Ridge	KY	41035-7437
19J	3160 Porter Dr		Palo Alto	CA	94304-1212
0XJ	50 Miller Street		North Sydney	NSW	2060
XK3	500 Teckwood Dr N		Danville	KY	40422-9809
XJQ	333 Continental Blvd		EL SEGUNDO	CA	90245-5012
19I	17 Square Edouard VII		Paris		75009
0XI	360 Elizabeth St		Melbourne	VIC	3000
XK2	501 W Railroad Ave		Syracuse	IN	46567-1568
19H	2701 N Decatur Rd		Decatur	GA	30033-5918
0XH	170 Queen St		Melbourne	VIC	3000
XK1	1201 Orchard St		Mitchell	IN	47446-1621
19G	8, Rue des Combes	B.P. 30190	Limoges		87000
0XG	161 Collins St	Lvl 10	Melbourne	VIC	3000
XK0	400 S Miller Ave		Marion	IN	46953-1137
19F	500 Hills Dr		Bedminster	NJ	07921-1538
0XF	45 Park Terrace	Channel 7	Gilberton	SA	5081
19E	8616 Phoenix Dr		Manassas	VA	20110-5242
0XE	486 Albert St		East Melbourne	VIC	3002
19D	Cedar House, 21 William St		Edgbaston		B15 1LH
0XD	181-189 Victoria Pde		Collingwood	VIC	3066
19C	Britannia House	Hall Inges	Bradford		BD1 1HX
0XC	MLC Life Chatswood		Chatswood	NSW	2067
19B	17-19 The Mall		London		E15 1XW
0XB	45 Pirie St		Adelaide	SA	5000
19A	Classified		Colorado Springs	CO	80903
0XA	211 Victoria Square		Adelaide	SA	5000
XJH	3333 Fairview Rd		COSTA MESA	CA	92626-1698
18Z	South Sideway, Attica Road	FNAC Maroussi store, Andrea Papandreou, Area Psalidi	Maroussi		15122
18Y	99, rue Dervenochorion	ETHNIKI AKINITON AE	Magoula		19018
XJA	1755 Grant St		CONCORD	CA	94520-2455
18X	63, Ag. Dimitriou	Pharmaceutical Cosmetics Manufacture	Alimos		17456
18W	C/ Sagunto, 21		Linares		23700
18V	Ctra Jaen, 25	Edificio Compostela Local-1	Granada		18014
18U	Ctra San Lucar	Edificio Jardines de San Lucar Local-2	El Puerto de Santa Maria		11500
18T	Ctra Badajoz-Madrid, Km 398		Badajoz		06008
E29	801 W Badger Rd	State of Wisconsin ETF	Madison	WI	53713
DQ9	AN DER GOHRSMUHLE		BERGISCH GLADBACH		51465
DQ8	An der Bega 80		Lemgo		32657
18S	Puerta Triana		Sevilla		41092
E28	The Boots Company	Beeston	Nottingham		NG90 1WT
18R	Plza. Alferez Provisional	Esquina Pasaje de Oriente	Moron de la Frontera		41530
E27	3000 Clearview Way		San Mateo	CA	94402-3710
DQ7	Käfertaler Str 30		Mannheim		68167
18Q	C/ Juan Carlos I		Torre del Mar		29740
E26	79 T W Alexander Dr	Bldg 4201	Durham	NC	27709
DQ6	Planta Pharmacia Upjohn	Zona Industrial Ii.	Valencia		
18P	Plaza de la Hispanidad, S/N		Fuengirola		29640
E25	500 Oracle Pkwy		Redwood City	CA	94065-1677
DQ5	Av Trieste Con Calle Miranda	Edificio Plumrose, Prolongacion, Urb. Los Ruices Sur	Caracas		
XJ9	2100 W State Blvd		Fort Wayne	IN	46808-1937
18O	Camino de la Torre		Málaga		29004
E24	21111 N 19th Ave		Phoenix	AZ	85027-2700
DQ4	Av Principal De La Castellana	Torre Banco Lara. Piso 12, La Castellana	Caracas		
XJ8	2651 S 600 E		Columbia City	IN	46725-9097
18N	Avda. San Lorenzo, S/N		Estepona		29680
E23	200 Energy Court		Farmington	NM	87401
DQ3	Av Andrés Bello	Torre Mercantil	Caracas		
XJ7	570 S Main St		Churubusco	IN	46723-2220
18M	C/ Camino de la Estacion, S/N		Antequera		29300
E22	30 Currie Street		Adelaide	SA	5000
DQ2	Carretera Nacional Planta	Vía La Villa	Cagua		
XJ6	303 N Jackson St		Andrews	IN	46702
18L	C/ General Delgado Serrano, 29		Martos		23600
E21	611 N Brand Blvd		Glendale	CA	91203-1221
DQ1	Fernandez Crespo 1621		Montevideo		
XJ5	401 E Park Dr		Albion	IN	46701-1444
18K	AVDA. DEL EJERCITO ESPAÑOL, 2		Jaen		23007
DQ0	Av Dr Luis A De Herrrera 1248		Montevideo		
XJ4	100 S EATON ST		Robinson	IL	62454-3436
18J	C/ Monjas, 38		Motril		18690
XJ3	1945 Ohio St		Lisle	IL	60532-2392
18I	C/ Central Villafranca		Villafranca de Cordoba		14420
XJ2	60428 Marne Rd		Atlantic	IA	50022-8291
18H	Avda. Maria Guerrero, 154		La Linea de la Concepcion		11300
XJ1	9101 Ely St		Pensacola	FL	32514-7019
18G	84-87 Queens Rd		Brighton		BN1 3XE
XJ0	1550 Industrial Dr		Stockton	CA	95206-3929
18F	Plaza Elias Ahuja S/N		El Puerto de Santa Maria		11500
XIM	555 W Imperial Hwy		BREA	CA	92821-4839
18E	C/ PARAJE LLANO LA HERRA	(a 600 mts. Del cruce de Fines) / Carretera C.323	La Estacion (Fines)		04869
18D	Bowcliffe Rd		Leeds		LS10 1HB
DPH	1133 WESTCHESTER AVE		WHITE PLAINS	NY	10604-3599
18C	250 Piedmont Ave		Atlanta	GA	30308-3329
18B	6251 Ammendale Rd		Beltsville	MD	20705-1267
18A	Henri Dunantweg 2N		Zutphen		7201 EV
DPA	201 SUSSEX STREET	DARLING PARK	SYDNEY	NSW	2000
XID	2400 S Avenue A		YUMA	AZ	85364-7170
17Z	El Sebadal		Las Palmas		35008
17Y	Marie Curie		Elche		03203
17X	El Goro		Las Palmas		35215
17W	2400 County Rd J		Saint Paul	MN	55112-4503
17V	3700 Sysco Ct SE		Grand Rapids	MI	49512-2083
17U	79 W Monroe St		Chicago	IL	60603-4901
17T	769 Chicago Rd		Troy	MI	48083-4223
DP9	Carretera Ramiro Prialé S/N	El Agustino	Lima		
17S	7159 Corklan Dr		Jacksonville	FL	32258-4455
E18	29000 Highway 98	Summit Bldg A, Suite 204	Daphne	AL	36526-7243
DP8	Av Paseo De La Republica 3361	Edificio Petroperu. Piso 5, San Isidro	Lima		
DOW	Eugene Houdry Road		Sasolburg		
17R	6300 InterFirst Dr		Ann Arbor	MI	48108-9130
E17	1111 Westchester Ave		White Plains	NY	10604-3525
DP7	Av Bolivia N 144	Torre Del Centro Civico De Lima. Piso 17	Lima		
17Q	5515 N East River Rd		Chicago	IL	60656-1113
E16	680 Washington Blvd	9th Floor	Stamford	CT	06901-3700
DP6	Estatuto Juridico S/N	Esq Pages Llergo Col. Adolfo Lopez Mateos	Villahermosa		86040
17P	5501 S Kedzie Ave		Chicago	IL	60629-2412
E15	500 Boylston St	Suite 400	Boston	MA	02116-3740
DP5	Zaragoza 418	Piso 1, Col. Centro	Veracruz		91700
XI9	2301 E 16th St		Russellville	AR	72802-2662
E14	1 N Dearborn St		Chicago	IL	60602-4331
DP4	Primera Poniente 206	P. Alta, Esq. Primera Sur, Col. Centro	Tuxtla Gutierrez		29000
XI8	Viale Nervi, 270		Latina		04100
XI7	Schottenring 35		Vienna		1010
17N	499 Washington Blvd	11th floor	Jersey City	NJ	07310-1995
E13	700 S Renton Village Pl		Renton	WA	98055-3235
DP3	Calle Cepeda Sur 330	Piso 1 Col. Centro	Torreon		27000
17M	4747 W Irving Park Rd		Chicago	IL	60641-2764
E12	3801 University Blvd SE	Ethicon Endo-Surgery	Albuquerque	NM	87106-5605
DP2	Calle Alemada 750	Esquina con Allende, Fraccionamiento Arboledas	Torreon		27077
XI6	Kesselstrasse 23		Wangen		70327
17L	4300 W Saginaw Hwy		Lansing	MI	48917-2112
E11	400 Renaissance Ctr		Detroit	MI	48243-1502
DP1	Calle Santa Roslia 9707	Parque De Industrial Pacifico Ii	Tijuana		
XI5	Boveristraße 15		Ladenburg		68526
17K	4242 N Harlem Ave		Norridge	IL	60706-1283
E10	475 L'Enfant Plz SW		Washington	DC	20260-0001
DP0	Calle Cuarta 8160	Zona Centro	Tijuana		22000
XI4	Industriestraße 41		Betzdorf-Bruche		57518
XHR	9501 E Shea Blvd		SCOTTSDALE	AZ	85260-6704
17J	40 Pearl St Nw		Grand Rapids	MI	49503-3028
XI3	Sierra Candela No.111	Col. Lomas de Chapultepec	México		11000
17I	320 E Big Beaver Rd		Troy	MI	48083-1238
XI2	Strada Statale 63		Santa Vittoria d'Alba		12069
17H	30500 Northwestern Hwy		Farmington Hills	MI	48334-3159
XI1	3 Bai Shi Qiao Rd, Room 64632	Lenovo, Beijing Friendship Hotel	Beijing		100873
XI0	333 Huai Hai Zhong Rd, Unit 804-805	Lenovo, Shui On Plaza, 8th Floor	Shanghai		200021
17G	2600 W Big Beaver Rd		Troy	MI	48084-3323
17F	181 W Madison St		Chicago	IL	60602-4510
17E	1461 EAB Plaza	14th floor	Uniondale	NY	11556-1461
17D	135 S Lasalle St		Chicago	IL	60603-4177
17C	12425 Merriman Rd		Livonia	MI	48150-1989
17B	1000 Sawgrass Corporate Pkwy		Sunrise	FL	33323-2872
17A	1000 S York Rd		Elmhurst	IL	60126-5122
16Z	777 W Putnam Ave		Greenwich	CT	06830-5091
16Y	650 Davis St		San Francisco	CA	94111-1904
16X	2675 Sanders Rd		Northbrook	IL	60062-6104
16W	15529 College Blvd		Lenexa	KS	66219-1351
16V	40 Rue du Colisee		Paris		75008
16U	9 Avenue de Messine	SD Messine	Paris		75008
DNY	12214 Lakewood Blvd		Downey	CA	90242-2655
16T	1 Rue de l'Equerre	GETRONICS, Parc d'Activites des Bethunes	Saint-Ouen-l'Aumone		95310
DO9	Av Hidalgo 3507 Interior	Col. Guadalupe	Tampico		89120
16S	401 N Main St		Winston Salem	NC	27101-3804
DO8	Lazaro Cardenas Pte 2224	Piso 4, C.P.	San Pedro Garza Garcia		66230
16R	AVDA. DEL ALJARAFE, S/N		TOMARES		41940
E07	18201 W 10th Ave	Lookout Building	Golden	CO	80401-2602
DO7	Planta Sistemas de Energia	Carretera Saltillo  Piedras Negras  Km. 8.54 # 8540	Saltillo		25900
16Q	AVDA. REPUBLICA ARGENTINA, 25		SEVILLA		41011
E06	275 Hartz Way		Secaucus	NJ	07094-1908
DO6	Planta CENTEC	Carretera Saltillo  Piedras Negras  Km. 8.54 # 8540	Saltillo		25900
XH9	6 Shenton Way #16-00		Singapore		68809
16P	POLÍGONO STORE, C/ B PARCELA 15		SEVILLA		41008
E05	635 Park Ave N	Building 10-18, 3rd Floor	Renton	WA	98055-1560
DO5	Blvd Isidro Lopez Zertuche 4248		Saltillo		25220
16O	PABELLON DE MEJICO	ISLA DE LA CARTUJA	SEVILLA		41092
E04	3 State Farm Plz	Corporate South	Bloomington	IL	61791-0002
DO4	Av Manuel Avila Camacho	Esq. Mazatlán Col Centro	Salina Cruz		
XH8	1114 Avenue Of The Americas		New York	NY	10036-7703
16N	C/ BALBINO MARRON, 3 EDIF. VIAPOL		SEVILLA		41018
E03	3 World Financial Ctr		New York	NY	10281-1019
DO3	Vicente Riva Palacio 1750	Col Sarabia	Sabinas		26760
XH7	71 Queen Victoria Street		London		EC4V 4NL
16M	C/ CUNA, 12		SEVILLA		41004
E02	2 World Financial Center		New York	NY	10281-1008
DO2	Brecha E 99Nte S/N	Parque Industrial Reynosa	Reynosa		88780
XH6	Holzmarkt		Wolfenbüttel		38300
16L	C/ EDUARDO DATO, 21		SEVILLA		41018
E01	375 Hudson St		New York	NY	10014-3658
DO1	Santa Rosa de Viterbo N 12	Parque Industrial Finsa Queretaro	Queretaro		76246
XH5	Jacobsonstr. 1		Seesen		38723
16K	C/ LUIS MONTOTO, 122		SEVILLA		41005
E00	11 Stanwix St, 3rd Floor		Pittsburgh	PA	15222-1312
DO0	Aljojuca 2	Esq Prolong. Reforma Col. La Paz	Puebla		72160
XH4	Graf-Schack-Allee 11		Schwerin		19053
16J	AVDA. DE GARCIA MORATO, S/N		SEVILLA		41011
XH3	In den Blumentriften 64		Salzgitter-Lebenstedt		38226
16I	C/ Isaac Newton, Planta 5	Pabellon de Italia	SEVILLA		41092
XH2	Böntalstr. 9		Holzminden		37603
16H	AVDA. SANCHEZ PIZJUAN, S/N		SEVILLA		41009
XH1	Schoeninger Str. 23		Helmstedt		38350
16G	C/ ECIJA, 37		OSUNA		41640
XH0	Große Ulrichstraße 57		Halle		33790
16F	C/ CREACIÓN, 5 - POLIGONO EL MURO		LOS PALACIOS		41720
DNJ	429 Ridge Rd	AT&T	Dayton	NJ	08810-1323
16E	CENTRAL GUILLENA		GUILLENA		41210
16D	C/ SAN FRANCISCO, 13		ECIJA		41400
0UD	Beveridge Way	Thames House	Newton Aycliffe		DL5 4SH
16C	CENTRAL SAN RAMON		ECIJA		41400
0UC	Metcalf Way		Crawley		RH11 7SU
16B	CTRA. ALCALA-DOS HERMANAS KM. 1		DOS HERMANAS		41700
0UB	Creynolds Lane	University for LTSB Management Centre	Shirley		B90 4ES
16A	PZA. CONCORDIA, 2		CONSTANTINA		41450
0UA	Tredeager Park		Newport		NP10 8SB
DNC	3414 N DUKE ST	SUITE 410	DURHAM	NC	27704-2131
15Z	C/ LINARES, 8		CARMONA		41410
0TZ	Charlton Road	Charlton Place	Andover		SP10 1RE
15Y	C/ LA BANDA, S/N		ALCALA DEL RIO		41200
0TY	120 St George Street	Henry Duncan House	Edinburgh		EH2 4TS
15X	AVDA. DE LA MARINA ESPAÑOLA, S/N		MELILLA		52001
0U9	Fortran Road, St Mellons Road	Severside House, St Mellons Business Park	Cardiff		CF3 0YY
15W	AV ISABEL MANOJAS 15 EDIF ST ANA 12		TORREMOLINOS		29620
0TW	11-15 Monument Street	Monument Building	London		EC3R 8BQ
0U8	319 Wilmslow Road	Southgate Centre	Cheadle		Sk8 3NW
15V	C.H. TAJO DE LA ENCANTADA		EL CHORRO		29552
0U7	Rowlands Way	Centron House	Wythenshawe		M22 5SQ
15U	C/ ESPINILLOS, 6		RONDA		29400
0U6	1 Cornfield Drive, Poundswick Lane	Brotherton House	Wythenshawe		M22 9QE
0TT	1 Hays Lane, Tea Auction House	Lloyds TSB, Hays Galleria	London		SE1 2HA
15T	C/ DEL CASTILLO, 1		MARBELLA		29600
165	252 E CAMDEN WYOMING AVE		CAMDEN	DE	19934-1303
0U5	Stirling Way, Bretton Way	Peterborough Computer Centre	Peterborough		PE3 8YD
DN9	Edificio Central Planta 80C		Nuevo Laredo		
15S	AVDA. OBISPO HERRERA ORIA, 22		MALAGA		29007
0TS	46 Park Street	Red Lion Court	London		SE1 9EQ
0U4	St John's Road	Regents House	Bedminster		BS99 2EW
DN8	Carretera Nacional Km 8.5 Ote	Modulo Industrial De America	Nuevo Laredo		
XFZ	1 Poulan Dr		NASHVILLE	AR	71852-3395
15R	CAMINO DE LA TERMICA, 59		MALAGA		29004
0U3	Canons Way	Canons House	Bristol		BS99 7LB
0TR	38120 Amrhein Rd		Livonia	MI	48150-5016
DN7	Av Madero Pte 15	Col. Centro	Morelia		68000
15Q	C/ MAESTRANZA, 4		MALAGA		29016
0U2	45 Robertson Street	Atlantic Quay 2	Glasgow		G2 8JD
DN6	Carretera Miguel Aleman Km 20.5	Parque Industrial Monterrey, Apodaca	Monterrey		66600
15P	POLIGONO DE LOURDES, NAVE 10		COIN		29100
0U1	Colemore Row	125 Colemore Row	Birmingham		B3 2SF
DN5	Av Munich 101		Monterrey		
XG9	Brodschrangen 4		Hamburg		20457
XFW	1600 Cantrell Rd		LITTLE ROCK	AR	72201-1145
15O	C/ FUENSANTA, 46		VILLANUEVA DEL ARZOBISPO		23330
0TO	c/o Britannia Airways	London Luton Airport	Luton		LU2 9ND
0U0	1-9 Gloucester Road	Sussex House	Brighton		BN1 4BE
DN4	Blvd Harold R Pape S/N	Esq Av Morelia Col Guadalupe	Monclova		25750
XG8	Friedrich-Wilhelm-Platz		Braunschweig		38100
XFV	1 Allied Dr		LITTLE ROCK	AR	72202-2099
15N	C/ PRIMERO DE MAYO, 40		UBEDA		23400
0TN	IBM Sales Training Centre	Warbrook House, The Street, Eversley	Reading		RG27 0PL
DN3	Romulo Ofarril 427	MegaDirect Impresión Planta, Col Olivar de Los Padres CP	Mexico		01780
XG7	Herzog-Wilhelm-Str. 2		Bad Harzburg		38667
XG6	Friedrichswall 4		Hannover		30159
15M	CTRA. DEL MARMOL, S/N		UBEDA		23400
0TM	IBM Milton Keynes Distribution Cent	Clarke Road, Mount Farm	Milton Keynes		MK1 1JU
DN2	Nacional Monte De Piedad 7	Col. Centro	Mexico		
15L	PLAZA DE LA CONSTITUCION, 22		QUESADA		23480
DN1	Lorenzo Boturini 206	Control Informatica PB, Col Transito CP	Mexico		06820
XG5	410 Princeton Rd		Johnson City	TN	37601-2051
15K	CENTRAL MARMOLEJO, APTDO. 24		MARMOLEJO		23770
0TK	Lower Ground Floor, Greater London	Hampstead Road	London		NW1 7SD
DN0	Lorenzo Boturini 202	Col. Transito CP	Mexico		06820
XG4	2 Redbush Ct Ste 1		Johnson City	TN	37601-4340
15J	C/ PADRE PEDRO POVEDA, 21		LINARES		23700
0TJ	Telehouse East, Coriander Avenue	East India Dock	London		E14 5XX
XG3	Calle Diana #21		Guaynabo	PR	00965
15I	C/ JULIO BURELL, 111		LINARES		23700
XG2	1300 Morris Dr		Chesterbrook	PA	19087-5559
XFP	60 Commerce St Fl 8		MONTGOMERY	AL	36104-3530
15H	AVDA. DE ANDALUCIA, 164		LA PUERTA DE SEGURA		23360
0TH	Nokia House, Keilalahdentie 4		Espoo		02150
XG1	6305 Lasalle Dr		Lockbourne	OH	43137-9280
15G	CTRA. DE LAS CUEVAS, S/N	SUBESTACION OLIVARES	JAEN		23003
XG0	6810 Shady Oak Rd		Eden Prairie	MN	55344-3468
15F	AVDA. LAS CRUCES, 42		JAEN		23003
15E	PLAZA DEL CASTILLO, 4		ANDUJAR		23740
0TE	IBM Product Distribution	Ballycoolin Business Park	Blanchardstown		
DMI	400 LOCUST ST		DES MOINES	IA	50309-2331
15D	CENTRAL JANDULA		ANDUJAR		23740
15C	C/ UTRILLA, 17 BAJO		ALCALA LA REAL		23680
0TC	Concorde Business Park	Shadowmass Road, Wythenshawe	Manchester		M22 6JQ
15B	C/ CABECILLO MARTIN SANCHEZ, 37		VALVERDE DEL CAMINO		21600
0TB	Unit C, Wellington Gate	Silverthorne Way	Waterlooville		PO7 7XY
15A	C/ INDUSTRIA, S/N		EL REPILADO		21360
0TA	Building 300, Wharfdale Road	Winnersh	Wokingham		RG41 5TZ
14Z	CTRA. BOLLULLOS, S/N		LA PALMA DEL CONDADO		21700
0SY	Immeuble Holdal	Dekouanech - BP 175	Beirut		740
14Y	AVDA. EMILIO CABOT, 23		ISLA CRISTINA		21410
14X	AVDA. DE LAS FUERZAS ARMADAS, S/N	SUBESTACION ROMERALEJOS	HUELVA		21004
0T9	Cork Road	IDA, Waterford Industrial Estate	Waterford		
0SX	Gardner Road	Portslade	Brighton		BN41 1QP
14W	PASEO DE LA GLORIETA, 8		HUELVA		21004
0SW	Diamond Plaza	Daleside Road	Nottingham		NG2 3GG
0T8	Unit 2, Waltham Park	Billet Road	London		E17 5DN
14V	AVDA. FRANCISCO MONTENEGRO, SN		HUELVA		21001
0SV	NTL House, 60 Maxwell Rd		Glasgow		G41 1PR
14U	CRUCE PULIANILLAS		PULIANAS		18197
0SU	Wigmore House	Wigmore Lane	Luton		LU2 9EX
14T	C/ BRIONES, 3 - BLOQUE 7		PINOS PUENTE		18240
0T5	Matrix Court, Siemans Way	Swansea Enterprise Park	Swansea		SA7 9BB
DM9	Blvd Magnocentro 6	Col. Centro Urbano Interlomas, Huixquilucan	Mexico		52760
14S	C/ SANTA BARBARA, 7		ORGIVA		18400
DM8	Av Vasco De Quiroga 3800	Centro Comercial Santa Fe, 1Er Piso, Col. Santa Fé	Mexico		01210
XEZ	Avda. Cesar Augusto, 13		Zaragoza		50004
14R	C/ RAMBLA DE CAPUCHINOS, 31		MOTRIL		18690
0SR	Belmont House, 11-29 Belmont Hill	Lewisham	London		SE13 5AU
0T3	Sigma House, Lakeside	Festival Way, Hanley	Stoke-on-Trent		ST1 5TD
DM7	Av. San Pedro # 215 Norte	Col. Del Valle	Garza Garcia		66220
XEY	Pza. del mercado, 20		Zamora		49003
14Q	AVDA. RAFAEL ALAMO, 7		LOJA		18300
0SQ	Ring Road	Seacroft	Leeds		LS14 1NH
DM6	Calle Neutron 2898	Parque Neutron Maran	Mexicali		
XEX	Urb Castillo del Aguila Playa Blanc		Lanzarote		35570
14P	C/ DE PACHECOS, 5		GUADIX		18500
0T1	Roberts House, DeHavilland Avenue	Preston Farm Business Park	Stockton-on-Tees		TS18 3TH
DM5	Av Madero 883	Esq Calle A, Piso 1, Zona Centro	Mexicali		21100
XF9	1 INDUSTRIAL PARK DR		Williamston	MI	48895-1604
XEW	Alta Pineda s/n		Magalluf		07182
14O	C/ RIVERA DEL GENIL,6		GRANADA		18005
DM4	4104 S Miami Blvd		Durham	NC	27703-9138
XF8	322 N 3rd St		Paducah	KY	42001-0723
XEV	Aneto de Vielha, esquina c/düen Poi		Vielha		25530
14N	PL DUQUE DE SAN PEDRO DE GALATINO,1		GRANADA		18008
0SN	2nd Floor, East Wing	Crown House, Crown Street	Ipswich		IP1 3HS
DM3	Av.Paseo del Montejo 478	P.Alta por 41 97000	Merida		
XF7	4000 W Metropolitan Dr		Orange	CA	92868-3510
XEU	Avda. Joan Miró, 21		Palma		07014
14M	C/ ESCUDO DEL CARMEN, 31		GRANADA		18009
DM2	Deltronicos	Parque Indistrial Del Norte	Matamoros		
XF6	1851 California Ave		Corona	CA	92881-6477
XET	Avda. Baleares, 2		Valencia		46023
14L	CTRA. DE MURCIA, S/N		BAZA		18830
0SL	NTL House	Bartley Wood Business Park	Hook		RG27 9XA
DM1	Av Lauro Villar Km 4 #900		Matamoros		
XF5	7515 Halcyon Summit Dr Ste 101		Montgomery	AL	36117-7014
0SK	Unit 1A, Centro, Maxted Rd		Hemel Hempstead		HP2 7EF
14K	CTRA. DE GRANADA, 4		BAZA		18830
XES	San Antonio, 21		Trujillo		10200
DM0	4100 S Miami Blvd		Durham	NC	27703-9138
XF4	2201 C St NW		Washington	DC	20520-0099
XER	Blanca, 2		Magalluf		07182
14J	C/ CAMINO DE RIO SECO, EMPEDRAILLO		ALMUÑECAR		18300
XF3	2051 Jamieson Ave Ste 250		Alexandria	VA	22314-5778
XEQ	Avda. De Carlota Alessandri, 109		Torremolinos		29620
14I	C/ PROFESOR MARTINEZ RIVES, 3		PUENTE GENIL		14500
0SI	ZI, Avenue de la Parqueyre	BP11	Bassens		33530
XF2	8101 Odell Rd		Beltsville	MD	20705-4110
XEP	Salvador Allende, 51		Torremolinos		29620
14H	AVDA. DE SOLDEVILLA VAZQUEZ, 15		POSADAS		14730
0SH	Units K1/K2, Field Way	Bristol Road	Greenford		UB6 8UN
XF1	2701 N Rocky Point Dr Ste 500		Tampa	FL	33607-5934
XEO	Avda. Rafael Puig Llivina, s/n		Playa de las Américas		38640
14G	C/ JOSE SIMON DE LILLO, 53		PEÑARROYA		14200
